county,hpa
Adams,E-05
Bond,F-02
Bureau,C-02
Champaign,D-01
Christian,E-01
Clay,F-03
Clinton,F-01
Coles,D-05
Cook,A-01
Crawford,F-03
Dekalb,B-04
Dewitt,D-04
Edgar,D-05
Effingham,F-02
Fayette,F-02
Ford,D-01
Franklin,F-06
Fulton,C-04
Greene,E-03
Hamilton,F-05
Hancock,E-05
Hardin,F-05
Henry,C-05
Iroquois,D-03
Jackson,F-07
Jefferson,F-04
Jersey,E-03
Jo Daviess,B-02
Kane,A-12
Kankakee,A-14
Kendall,A-13
Knox,C-03
LA Salle,C-02
Lake,A-09
Lawrence,F-03
Lee,B-03
Livingston,D-02
Logan,E-01
Macon,D-04
Macoupin,E-02
Madison,F-01
Marion,F-04
Mason,E-01
Massac,F-06
McDonough,C-04
McHenry,A-10
McLean,D-02
Mercer,C-05
Montgomery,E-02
Morgan,E-04
Ogle,B-04
Peoria,C-01
Perry,F-07
Piatt,D-01
Pike,E-04
Randolph,F-07
Richland,F-03
Rock Island,C-05
Saline,F-05
Sangamon,E-01
Schuyler,E-01
Shelby,D-04
St. Clair,F-01
Stephenson,B-02
Tazewell,C-01
Union,F-07
Vermilion,D-03
Wabash,F-03
Warren,C-03
Washington,F-04
Wayne,F-03
Whiteside,B-03
Will,A-13
Williamson,F-06
Winnebago,B-01
Woodford,C-01
